Sr. No.,NGO Name,Registration Number,Address,Sectors working
Sr No.,Name of VO/NGO,"Registration No.,City & State",Address,Sectors working in
23,40 REASONS TO,"E-35861 (M), MUMBAI","80 / A, NEPEAN SEA ROAD, 2/12, STARDUST, BWING ,","Education & Literacy,Any Other"
24,4CHANGING CARE,"U85100MH2022NPL388641,",201 BLDG X1 2ND FLOOR GEETA SNEHA CHS LTP POOJA,"Agriculture,Art &"
25,5RCYCLE,"U90009MH2020NPL340146,",SAMRUDDHI CHS LTD. P/B/004,"Environment & Forests,Science &"
26,6 SIGMA,"186559, KAGAL","PLOT NO. A262, KAGAL HATKANANGLE FIVE STAR MIDC,",Micro Small & Medium Enterprises
27,72 NAGPUR,"U72200MH2023NPL407421,","FORTUNE RITZ, F. NO. 101,PLOT NO.240/A,CIVIL LINES,Ravi",Data Not Found
28,9 ELEMENTS,"U88900MH2023NPL401146,",FLAT 103 RUNWAL PLAZA TOWER ANAND OPP KORES IND,"Children,Education & Literacy,Food"
29,99 friends,"F25095 , solapur","54, Siddharth Nagar, Solapur",Health & Family Welfare
30,A & A CHARITABLE,"E-32915(M), Mumbai","Shop No.5, Almas Manzil, 1st Floor, 327 Abdul Rehman Street,",Health & Family Welfare
31,A B FOUNDATION,"E-27327, MUMBAI","B 1103, SIMGA EMERALD, OLD ANAND NAGAR, SANTACRUZ","Children,Differently Abled,Education &"
32,A BANYA BAPU,"NANDED/0000064/2021,",At Post Chorad Tah Mahur Dist Nanded,"Agriculture,Animal Husbandry, Dairying &"
33,A BOOK OF,"2636/2018, MUMBAI","PLOT NO. 45/30, SHIVAJI NAGAR, ROAD NO. 03, DESPANDE","Children,Education & Literacy,Health &"
34,A E KALSEKAR,"E-23087, MUMBAI","55-A, ELEVEN STAR APARTMENT, MORLAND ROAD,",Data Not Found
35,A H WADIA,"E-04 (Beed), Beed",Main Road,"Art & Culture,Children,Education &"
36,A Happy Sunday,"F33969N, NAGPUR","PLOT NO. 19, RAMESHWARI ROAD, RAMESHWARI",Women's Development & Empowerment
37,A I I's A.D. BAWLA,"2640, MUMBAI","60, YARI ROAD, VERSOVA, ANDHERI WEST",Data Not Found
38,A J Foundation,"MAHA1116/2008/Pune,",A J FoundationFlat No 402 Shiv Prakash S no 16/4 Neeta,"Differently Abled,Vocational Training,Skill"
39,A J SOCIAL,"osmanabad/0000023/2021,","""Sai Krupa"",1/357,Shree HSG Society, Tambri Vibhagh,Shivaji","Agriculture,Differently Abled,Education &"
40,A K PATEL,"E-19844 (MUMBAI), MUMBAI","UNIT NO.2,M.I ESTATE,GRANT ROAD (EAST),PARSHURAM","Children,Education & Literacy,Food"
41,A K RURAL,"E706, Thane",Shop no 6 Building No 5 Amrut Angan Ph-II Parsik Nagar,"Animal Husbandry, Dairying &"
42,A M CARE,"003, NAVI MUMBAI","SHOP NO 7, SHREE DHARTI ENCLAVE CHS, PLOT NO 53,",Health & Family Welfare
43,A Ray Of Hope,"MAH224/2020PUNE, Pune","Sr. No. 8/11, Om Super Market, Ashoka Society, Thergaon,","Education & Literacy,Environment &"
44,A S AGRI AND,"AAM-3161, Thane","B, NO, 204, GREEN ACRES A WING, VIJAY NAGARIV",Data Not Found
45,A S LOGICAL,"U85300MH2021NPL365541,","OFFICE NO. 503, 5TH FLOOR PUSHP PLAZA,, NR RELIANCE",Data Not Found
46,A START NEW WAY,"F-14954 (CDP), Chandrapur","S/O Parmanand Lokhande, Raytwari Colary Bagad Khidki,","Education & Literacy,Women's"
47,A WAY OF SOCIAL,"Pune/0001015/2023, Pune","mestro bulding, s.r no49 salunke vihar road rajiv ghandi",Data Not Found
48,A WORLD OF,"E-28489, Mumbai","C-3, Aditya Birla Centre, S. K. Ahire Marg, Worli, Mumbai-",Data Not Found
49,A Y SAYYIED,"E-20135, MUMBRA","KAKA MANZIL, KAKA NAGAR, OPP. BOSTAN HOTEL, KAUSA,","Education & Literacy,Children,Food"
50,A-ONE,"E-29854, MUMBAI","ROOM NO. 209, 2ND FLOOR, WP 83/84,JARIMARI SADAN B G",Data Not Found
51,A.M.T.I.,"U85220MH2024NPL426402,","8TH FLOOR ,OFFICE 85-A AGGARWAL TRADE CENTER, PLOT",Data Not Found
52,A.T.E. CHANDRA,"U74999MH2015NPL269584,","3rd Floor,43, Dr. V. B. Gandhi Marg,Fort",Data Not Found
53,A.T.PAWAR,"F-0021078(NSK), NASHIK",AT. ARJUN SAGAR KRUSHNA NAGAR OLD ADGAON NAKA,Data Not Found
54,AAA ART OF,"U85300MH2022NPL376066,","Clara G 503 Palava, Phase II, Kalyan, Thane, Maharashtra,","Children,Differently"
55,AAAN,"E-0009738(PUN), PUNE","C/o. PRIYA RAMESH RAI, Flat No. A202, Pratham, Sr. No. 94,","Agriculture,Art & Culture,Children,Dalit"
56,AAATB5022F,"F-1511, Dadar Mumbai","Bengal Club, Veer Savarkar Marg, Shivaji Park, Dadar",Data Not Found
57,AABADAJI,"F-1397 SINDHUDURG, PIYALI","H NO. 63, PIYALI, KANKAVLI SINDHUDURG","Agriculture,Animal Husbandry, Dairying &"
58,AABADIRAJE,"F26558, Solapur","269, Dakshin Sadar Bazar, Lashkar, Solapur","Children,Drinking Water,Education &"
59,AABAJI PATIL,"F11144, ASHTI","23, C/O ASHOK PAWAR, AP PIMPRI, ASHTI, BEED,",Data Not Found
60,AABAJI VISHNU,"Nagpur/0000299/2024 ,","C/O.Shri. Rajesh Babanrao Kolhe, Flat No T301, Gurukrupa","Agriculture,Art & Culture,Education &"
61,AABASAHEB,"MH/3779/JALGAON,",A/P DEOGAON TALUKA PAROLA JILHA JALGAON,"Art & Culture,Education & Literacy"
62,AABASAHEB,"PUNE/0001509/2023, PUNE","PLOT NO 29,NEAR GASS PUMP SPIN ROAD CHIKHALI, PUNE","Agriculture,Education &"
63,AABHA AROGYA,"U85300PN2021NPL201922,","Office No. C-17, LOKSANGAM VIHAR, S. NO 159/1/A, Aundh,",Health & Family Welfare
64,AABHA MAHILA,"F-20570/JALGAON,","PLOT NO.4,JUNA ANTTURLI ROAD,GADGEBABA NAGAR,","Agriculture,Dalit Upliftment,Differently"
65,AABHA,"F-72862 (GBR), MUMBAI",2ND FLOOR ROOM NO 206 PLOT 126 NANIBAI NIWAS,"Differently Abled,Education &"
66,AABHAL,MAHA/0000660/2022/,Aabhal foundation Dindori Tal Dist Nashik Dattu tulshiram,Civic Issues
67,AABHAL,"MH20840JAL, Jalgaon",17 Patel Nagar Jalgaon 425001,Data Not Found
68,AABHAL MAYA,"F17665, KHAMGAON",AT POST WADI TQ. KHAMGAON,Data Not Found
69,AABHALMAYA,"MH 140/2014 F 10803, PEN",ASHTAVINAYAK CO OP HSG SOCIETY VADAGAON ROAD,"Agriculture,Animal Husbandry, Dairying &"
70,AABID,"KOLHAPUR/0000461/2021,","TARALE KASABA,KOLHAPUR 416211",Education & Literacy
71,AABSHAR E ILM,"F-4218, HINGOLI",AZAM COLONY HINGOLI,"Agriculture,Animal Husbandry, Dairying &"
72,AACHARY,"F-4935, Nandurbar","438, NALA, SUBHASH CHOWK, DESAIPURA","Children,Health & Family"
73,AACHARYA,"MH/1308/PUNE, pune","Keshav nagar, Vadagaon , maval, Tal- Maval, Dist- Pune","Tribal Affairs,Animal Husbandry, Dairying"
74,AACTS1773N,"E-12036, Mumbai",Society of Abbey of Berne St. Norbert Priory All Yavar Jung,Education & Literacy
75,AACURITE,"U80900MH2022NPL385687,","FLAT NO.B-108,1ST FLOOR, VERSOVA ANJALI,, VASWANT",Data Not Found
76,AADARSH,"MAHA/13791/JALGAON,","SHRI NAGAR ,BEHIND BHOI NAGAR,OPOSIT SARSWATI","Environment & Forests,Health & Family"
77,aadarsh,"8421, JALGAON","GAT NO155,PLOT NO 29,WAGH NAGER STOP , JALGAON","Education & Literacy,Micro Finance"
78,AADARSH,"F-0012877JLN,",AT.GODRI POST SIPORA BAJAR TQ.BHOKARDAN DIST,Education & Literacy
79,AADARSH,"MH1081/13, SILLOD",AT SILLOD TA SILLOD DIST AURANGABAD,"Agriculture,Animal Husbandry, Dairying &"
80,AADARSH,"WASHIM/0000075/2018,","At.po. Dhanaj (khurd), Ta. karanja (lad), Dhanj Kh, Dhanaj KD","Children,Health & Family Welfare,Urban"
81,AADARSH,"8321, YAVATMAL",AADARSH BAHUUDDESHIYA SANSTHA WAGHOLI HANUMAN,Data Not Found
82,AADARSH,"2622, DHAWALESHWAR","DHAWALESHWAR,SANGLI,DHAVALESHWAR,MAHARASHTRA-","Agriculture,Art &"
83,AADARSH,"F-21245/AURANGABAD,","NAMRATA NAGAR, PAITHAN SUGAR FACTORY, PAITHAN,TQ-","Agriculture,Animal Husbandry, Dairying &"
84,AADARSH,"E-12252, Diva","Sanskruti Apt Room no 7 , Ground floor , Mumbra devi Colony","Agriculture,Children,Health & Family"
